A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	#	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;1.35662410426047	#	#	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	-10.2506500490378;-9.2500786644222	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	1.0	1.0	1	2.8	4955	15	0.5375	2.8	5	5
-5.31222176052155;-1.0923463395384498	0.20026827245669598;0.602836252081304	#	#	-7.2888719339399;-3.2619172241201	0.16737576247865996;0.61553351619534	#	-0.006865388168349973;0.7455232263043499	#	-0.08178759921537504;1.215278777053375	-7.6211391531888495;-3.97952853309115	-0.0244229799315;0.8169478037395	-7.30325884206625;-4.594257651433749	-0.022481035749800038;0.7386310716638	-8.224293743582;-3.761861771038	#	-7.990708124486;-4.004026152673999	#	-7.366494893316;-7.314442520401238	0.105527762128025;0.6225055513599751	-8.330737314888001;-3.6829303996119997	-0.13048264615763;0.8652127068336299	-8.2887837352826;-3.9575946524774	-0.380742344397;1.004156079531	-8.04052297252815;-4.50591938075185	#	#	#	-8.318714828607401;-4.7899618998726	-0.008474472781725029;0.5804306365097249	-8.85675213204315;-4.613008856096849	#	-8.158549475454;-5.466210670565999	#	-9.111249014224601;-4.8450874369554	-0.16447767912802008;0.7154135785640201	-8.5855371333432;-5.945398932956801	-0.16257050358377;0.75363824031977	#	-0.03561490044771004;0.5593344550697101	-9.6972484398259;-5.2346651263141	#	#	#	-8.88252428506115;-7.00921723299885	#	-9.3285039429184;-5.128770101561599	-0.18976313047373;0.7295113899797301	#	#	-8.8942308981678;-5.5758795292722	-0.52066525016948;0.96612818761948	-8.8682696374055;-5.8272531787745	-0.18265047360378006;0.62613593828178	-9.5062830102982;-6.9649914239218	#	#	#	#	-0.34129985348293007;0.83353944543893	#	-0.29695064179756137;0.9483546593575614	#	-0.3178741282910151;0.853844764491015	#	#	-9.17860592028321;-8.819644803504	-0.05785176495725902;0.5778723023812591	#	-0.33763615474636843;0.8531222258163684	#	-0.016910679656442024;0.5136934444804421	#	-0.009105180435036497;0.5349574068830365	#	-0.35645571484033556;0.8845012369623355	#	-0.13935989466996004;0.5543186955079601	-12.0693967066629;-9.588177044937101	#	residential_area	5.41922809869769e-05	0.2222222222222222	1	3.4403200000000003	77	77	0.6	3.4403200000000003	0	0
-6.29140718757105;-3.4327819023889496	#	-7.067742192747909;-4.26820326201209	-0.019389415338069982;0.71246991222607	-7.96246545948825;-4.60666986797175	#	-7.9137367647207;-5.4981073874193	#	-8.051985855118499;-5.7176996634415	0.032455171755500056;0.7934007791665	-8.17803983812905;-6.2079881911909505	0.013785427204149936;0.6027449757738501	-8.98136960122175;-5.91116825183825	#	#	-0.04310011965469496;1.008857104988695	#	-0.05682014938840002;1.0086480544644	#	-0.021614322727400048;1.0456946614934002	#	0.30211952271324993;0.77178714204875	#	#	-8.78612528888585;-6.98547817609415	0.25635379040678996;0.73733577160521	#	#	-9.75094676569495;-6.2900544702050505	-0.137386183196895;0.821687851934895	-11.0138938355237;-6.0291795113963005	#	#	0.09823497455820507;1.146340557077795	#	0.10396375791738488;1.1638327728646152	#	#	#	-0.19848394480002007;1.4321179925440202	-10.8597844851956;-6.837174174424401	#	-7.656404975193595;-7.5738070980928	#	-10.72162525729295;-7.03960794806705	0.07996494496013995;1.2643231657918599	-10.7664157121916;-6.763544394648401	0.400854528464105;0.9803971609238951	#	0.40056259849711995;1.08910691099888	-10.9283839317026;-6.5689811529574005	0.44745567004802994;1.12890266236797	#	0.39976134418821996;1.20854775607378	-10.9533402506966;-7.239144855223399	0.012890895270515124;1.5325059585814849	-10.210611146403151;-8.53829801009685	#	#	0.0857040057719679;1.097873247920032	#	-0.0906305302449324;1.0321857248949324	-11.5536124587289;-8.694794693071099	#	-11.832538833747002;-9.124917600053	#	-12.1545271680485;-8.7819752807515	-0.19021575871888846;0.7633703422888884	#	#	-11.320102697837699;-9.9570758971623	#	#	-0.3277860014225915;0.7790999520865916	-11.8138405045663;-9.5695287792337	-0.38930176653152404;0.905609835349524	-11.2238734006001;-10.2947714005999	-0.074311358243288;0.5673413376712879	#	-0.42330770067422996;0.79722692241223	office	0.0	0.0	1	19.0	82	82	0.6	19.0	0	1
#	-0.17390395768149597;0.8612708470674959	#	#	#	-0.16062338315868002;0.7356921242746801	-7.2247286407649;-2.7031659601751006	-0.053353353558549976;0.62904562235855	-7.1294475217955;-2.5837323064245	#	#	#	-5.5971125200452505;-3.61051164691475	#	-7.05997622406;-2.2787991106199996	-0.12074926847675999;0.7070203509147599	-6.7406698224101;-3.3519901463698996	-0.17516021184703995;0.7547029478790399	-6.143494848746251;-4.42427958621375	-0.10784180096435003;0.65928653144435	-6.1326292865486;-4.2071092787914	-0.28518975619389;0.82322582543789	#	-0.33669769208680006;0.8635476086508	#	#	-7.232243312221001;-2.4903833963789994	#	#	-0.137064472863545;0.6537509596135449	-7.0269916679331;-2.8506093963669	#	#	#	#	#	#	-0.36905389007156997;0.97329845564757	-7.7223312305;-2.99064347264	#	#	#	#	-0.18140348256414002;0.8478163202101401	#	#	-7.6130984412344;-4.3976772189456	-0.09100329459120005;0.7083658536292	-7.587248699419599;-4.4905559518804	#	#	#	#	-0.3312655632273201;0.8388935007773202	#	-0.17811020734490993;0.6129222913649099	-8.85363454611905;-5.8186958913409494	#	#	-0.15428972481277797;0.7313583620667781	#	#	-10.5850061304219;-7.1867887863381	#	-9.7713532095115;-8.0009854797885	0.2073314399844619;1.244440112143538	-9.654769874254;-7.564737718746	#	-9.94381815533425;-7.955362962985751	0.7085897960370173;1.3701222296829825	#	#	#	0.41590271401640844;1.5227886675255915	#	0.670538842345656;1.2460551098483441	-11.0201246176895;-8.5186961561505	0.448169356709472;1.263241700168528	-11.032180248657399;-9.7405864521426	0.177532568409015;0.886762146688985	park	0.13168724279835387	0.6666666666666666	3	10.08	4778	98	0.5	30.240000000000002	4	6
#	#	-7.2562871071011;-5.3031204112389005	0.12884920249837503;0.610335602211625	#	0.054194831825040035;0.68493537409296	-7.7435287305342;-5.637595427245801	#	-7.75725459194825;-5.852968488211751	-0.09778592479575005;0.83610186611775	-8.94233120278165;-4.823132304638349	-0.04224084272763007;0.84961218796363	#	#	-9.3610327487212;-4.771102719818799	#	#	-0.17938032457519998;1.0798093708872	#	#	-8.1435716837154;-6.085257192664599	-0.13107333264018;0.9585555442181799	-8.6757877431967;-5.591456123623299	-0.17928373537472003;0.94710031608672	#	0.14791226997178997;0.62889425117021	#	-0.15051811302183998;0.90058279248984	-8.85058206757025;-5.79685357154975	#	#	0.059681437846939966;0.76112760496306	-9.7843003270492;-4.9380904782508	-0.07622704394386504;0.9386053454798651	#	#	#	-0.33303122263169;1.17977856381369	-8.911154286293;-6.410119328567	#	#	#	#	-0.09683040375970509;1.268865103767705	#	#	-8.9981229669168;-5.520218379543199	#	#	0.22518986366671995;1.12890427382528	-9.4368692989058;-5.4678607988542005	0.35951899282247995;0.93771644085152	-9.9295148724205;-5.566317344819501	#	#	#	#	#	-9.9833406862529;-7.718787303567099	#	-9.6732866389349;-8.059133344965101	0.1644016170827825;1.0830694621972174	#	#	#	0.22091273908682096;1.3156385596991789	-10.1684776344335;-8.2209476713465	#	#	#	-10.0242765439317;-7.781877613788301	#	-10.0116380676;-8.3063451194	0.409882040993482;0.9351838494385181	-10.9591565017408;-8.2992314939392	0.15935889629071348;1.0046484141852865	-10.71783233159245;-9.39564871620755	#	-11.8604194461937;-9.5151570262063	-0.20135298064446505;0.9037256645824651	forest_path	0.3666478320532007	0.8181818181818182	1	11.685376	4777	119	0.5125	11.685376	9	11
-2.2591886269123;1.2800617261703	0.08864113789233602;0.778757674391664	-2.42315858323858;-0.20956966126141996	#	-3.8573251522499;0.16962955756990006	#	-3.3598199742181;-1.0680690265219	0.1984248265777;0.7933367543003	#	0.26501125830750005;0.8876031189165	#	0.051948998030759974;0.7923552876612401	-3.8816754034245005;-1.8348745038354999	#	#	#	#	#	#	0.023439746734849942;0.92398170217115	-5.356227303380001;-2.03636522104	-0.15647383993934;0.8580082178253401	#	-0.2542724803378401;0.9829034450378401	-5.8826457855743;-1.4810639543057	#	-5.5661875158744;-2.3146264307255997	-0.025890612760639975;0.69674125977864	-6.110117853427001;-2.0384798587330004	#	#	#	#	-0.24690790245351502;0.934290452449515	-6.3102955403348;-1.5545744378051998	#	-5.5018720875142;-1.8195740711857995	-0.2571689039562301;0.9573403612182301	#	#	#	#	#	#	#	#	#	-0.15501157083156497;1.103994837615565	-6.443790833871;-2.8954970606490003	-0.36348556740592003;0.99208604783192	#	-0.5440786701497501;1.0046644942137501	-3.906982738727;-3.766110052496222	-0.36808010243480005;0.8364954046288001	-7.0854318088838;-3.7622043497762006	#	-7.8521529070769995;-4.135901493063	-0.08594343606016003;0.49848872335416	#	#	-8.1206495739033;-6.714774124316699	#	#	#	-8.635820285148249;-7.2299400291917495	#	#	-0.08352061770325903;0.552203449635259	-9.3341022700262;-8.0968412614538	-0.26965225931136844;0.9211061212513685	-9.7185275804179;-8.0916891409021	-0.2340712979139945;0.9597879813939945	#	0.133404527178482;0.6587063356235181	-10.18398089823905;-8.14747581414095	#	-9.8345395459055;-8.762498776674501	-0.025704119858216024;0.997471800654216	-9.3558643593409;-8.2342171149991	-0.22849596353328006;0.82710154832528	metro_station	0.1	1.0	1	1.5	186	186	0.5375	1.5	0	0
-6.91235733086105;-4.05373204567895	0.024153846434184056;0.915554372745816	#	0.19526695913460496;1.0234235666413949	#	#	-8.8830173367767;-5.2286036634233	#	#	#	-9.17252958016875;-4.69513947349125	#	-8.295064654434501;-6.2482637548455005	0.5286352388051402;1.6322477945548601	-8.6878822762836;-6.0741721209363995	0.67451174918222;1.4333005669577799	#	#	#	0.48243821316677493;1.166183031183225	-8.5312902589488;-6.4065785262512	0.1787507031932999;1.4938200373327	-9.7781015523287;-5.3812883925112995	0.5936069425263999;1.1475663120976	#	0.2966863327022399;1.3326475229757602	#	#	-8.48216082003555;-5.83559612348445	#	-8.2366725672414;-6.350564444598599	0.21303189592728;1.2896701989427202	#	#	-9.9429737404378;-4.8375672627221995	#	-9.906988315964;-5.738349052196	0.14162067647089005;1.18567250091911	-8.758271121914;-7.000787097566	-0.08969963474302012;1.54090230260102	#	#	-9.1344240530844;-6.7653608285156	#	-9.53001597354815;-6.36477302351185	0.3852322537852;1.0819135601568	#	#	-9.7074697519222;-5.7720893852578	1.00251028263988;1.381647463080697	#	#	-9.58311453238375;-5.94711659271625	0.14539630475071996;1.3843882548732802	#	0.481464374973315;1.168413650168685	#	0.26864761701047;1.29140389598553	#	#	-10.8840626775935;-7.4995477063665	#	-10.372596733337199;-7.999238588262799	#	-10.41134894656575;-8.48477229951425	#	#	-0.05617223547894501;1.2526714325709452	-10.809576343331148;-9.43975165526885	0.24905665101641605;0.853886304635584	-10.8400806598542;-9.6968968915458	#	-11.855566477069999;-8.956568465130001	#	-11.85805623882425;-9.15656990277575	#	-11.22582952318475;-9.97511529241525	#	#	-0.36202777637625505;0.776038291096255	home	0.18593443208187066	0.7142857142857143	1	15.784	4179	197	0.5375	15.784	5	7
#	0.0066918657237880486;0.854960108504212	#	0.18522051304745002;1.53338243224455	#	0.60180344961382;1.08315807397618	-6.610159157248099;-4.3184082095519	0.49729980461355017;1.56464179258645	-6.8869825376985;-4.5526963460214995	0.95348193777625;1.4723084882837498	#	0.9418393631916;1.6149359901284	-7.6572415392205;-3.6840397929594997	0.67220654262577;1.98512492791423	#	0.8631369639583051;1.915094188601695	-7.166874349082801;-5.3064227622372	#	-7.0922768436882;-5.1667557496518	0.8289705480103748;1.912956235109625	-7.7237709731236;-4.1383199241963995	#	-6.8980130089613;-4.7324184675587	1.0689022526743999;1.6228616222456	#	0.8601505778482599;1.67412008449174	-8.710471795781901;-3.7653893121180997	#	#	#	#	#	-8.5197006054026;-4.0773415773374	1.014880313781575;1.7635271584384251	-8.525796127049201;-3.4903267243708003	0.983313739885935;1.843207468994065	#	#	#	#	-8.5135316308608;-5.245160753359199	0.94604207859044;1.73352491574956	#	#	-8.472100605026199;-5.1130672702938	0.67024837910485;1.88944066525515	#	0.60668983597613;2.08552276018387	-7.7626586441362;-5.7627112446838	0.4859345996869999;2.099710332113	#	#	-7.5851880002905006;-5.8663526106295	#	-9.3546943242574;-4.597917765142601	#	-9.176708084196651;-5.64626924088335	#	#	#	-10.169745376850901;-6.472813639049101	#	#	#	-9.30113076969;-7.2183452053099995	#	#	0.6551093193482465;1.4217177534917536	#	#	-10.4137857442721;-7.6437635364479	#	#	#	#	#	-10.67523929449105;-8.06660675602895	#	-10.2574713389498;-9.373749267650199	0.30722433855201503;1.016453916831985	home	1.0	1.0	1	1.0	4937	257	0.5	1.0	2	2
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	-9.127434182754001;-4.9837473511059995	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;0.5023467373343047	#	#	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	#	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	0.1	1.0	1	1.0	275	275	0.5375	1.0	0	0
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	#	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;1.35662410426047	#	0.43734900953591516;1.708792393664085	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	-10.2506500490378;-9.2500786644222	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	1.0	1.0	1	4.0	4955	275	0.55	4.0	3	3
