A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-3.463443971095825;-1.217381247024175	#	-3.90563730512673;-2.0175761657932703	#	#	0.6831854216204201;1.4965087524395801	-5.4637072132189;-2.1809288286811004	0.46507947837685004;1.6374059241831502	#	0.574069045259125;1.386897307720875	-6.0800292415324;-2.2593230171676	0.32435538367091993;1.13207133599508	-6.3248678521942505;-2.65266623822575	#	#	#	#	#	#	0.36359441936912495;0.9472790201148751	#	#	-5.4979237331391;-3.4635773457609	0.17136257151643997;0.6883913164495601	#	-0.08678932277428997;1.28215939294429	#	0.25917972859281;1.0639288593751899	-7.6350975993419;-3.4277383381580995	#	#	#	-7.992985599440301;-3.0794672805196996	#	#	#	#	#	-6.289522529535;-4.599634044585	0.36086506745487995;1.3304121653351202	-7.9306219587182;-4.285131364581799	#	#	#	#	#	#	#	#	0.55618920801464;1.18018249121936	#	0.3142865238491399;1.42938160219086	#	0.59264500971236;1.2121409847736402	#	#	-8.4942026987373;-6.3883268974627	#	#	-0.06102999517648999;0.75232028869249	-9.9008698808913;-7.453605209388701	#	#	#	-9.915912104563;-8.457962209497	0.011175058191445042;1.2595466080125548	#	0.04672803246181956;0.8507319999781805	-10.03475950691775;-8.488183246202249	#	#	#	-9.775825578185;-7.4736800981150004	0.18882952289451949;1.1831508031654807	-9.1724368592166;-8.0087196683034	0.510892184237115;1.0504386850208849	#	#	-10.0422373983945;-7.8329322201455	-0.26552113848665004;0.8890386401086501	metro_station	1.0	1.0	1	2.68	297635	274235	0.4375	2.68	6	6
-4.0129594120958245;-1.766896688024175	0.085161716830224;0.545239407829776	#	-0.35224692743622493;0.8996177118182249	#	-0.18343363879777996;0.79587404524978	-5.936580972177708;-2.4013496892698005	-0.09709521170759994;0.7427804509596	#	#	#	-0.19213810786983582;0.5338244882068801	-5.676258979561499;-3.3886579741385	-0.18788489930018998;0.8966998537641899	#	0.14747095176713002;0.5958461622708701	-5.9331950801179;-4.0062987937421	-0.24039183795915997;1.05754215582516	#	-0.08824148397647502;0.762270362824475	#	-0.34843834945682994;1.02299109900283	-7.1950673663294005;-3.6513672076705994	#	-7.4626580219588;-3.7279825287611996	-0.31803622074812;1.01391388103212	#	#	#	-0.118233831578485;0.739885041960485	#	-0.007639156477960041;0.6122435028339601	-7.4842998122806;-4.3881101866594	0.10146337322605001;0.60056126966395	-7.324321801029599;-4.8065870996904	-0.3879974302398051;1.0318270992178051	-7.139446368023401;-4.9856494150766	-0.24584244182278997;1.0538955437147899	-7.33335201361;-5.3054858316699995	-1.0902718059110277;0.9507968908505801	#	#	#	#	-8.77487310745425;-5.22204938802575	#	#	#	#	-0.14377643939036006;1.01814208795636	#	0.09066453749876002;0.83406125639324	-9.01653154437525;-5.51275171160475	#	#	#	-7.68433523074005;-5.888147047299951	0.44923901047471004;1.6389759064252902	#	0.745544629461832;1.540820462578168	#	#	-9.7709177938029;-7.990899184997099	0.6206163640691675;1.3954627286508325	#	#	-9.4156682286765;-6.613125111063501	0.8686610136618196;1.6726649811781806	-9.876829815927248;-7.004616760312749	1.0114049153250124;1.4839280822149874	#	0.7210134037102265;1.6495706209497734	-9.4467583627175;-7.784097738222499	0.40044266269629747;1.6198932894437026	-10.02546049241495;-7.07460618688505	0.4568023458770414;1.5898499975229585	#	0.718291281748952;1.186524330119048	-9.4946469757747;-8.169063868825301	#	metro_station	1.0	1.0	1	2.25	295895	277175	0.5875	2.25	4	4
#	-0.02168921118879602;0.6540498974667961	-6.10513501362094;-2.0685905088390597	-0.31459503973143;0.87949123155743	-5.60025810321525;-3.46475181770475	#	#	#	-5.8159853687895;-4.2188421850105	0.07066552371662496;0.537609419173375	#	#	-5.64928262157975;-4.023881907200249	#	#	-0.11248797569572005;0.85324324692772	-6.9464528795709;-3.0262156072891	0.09018820479155998;0.63260838129844	#	-0.12749673816525003;0.7063384057572499	#	-0.41434661125782996;0.9570828372018299	#	-0.3257355206548001;0.8745097800828001	-6.169971985311349;-3.70241853444865	#	-7.2911388376807;-2.6170197777792996	0.03482667400662995;0.47825986851936997	-6.55002479569535;-3.6320175661646505	#	#	-0.061631487857800094;0.5908765745758	#	#	#	-0.3784786499817151;1.081340936643715	-6.3808642471448005;-4.1575899731352	#	-7.078643766421001;-3.7664623359190004	0.07856356849474994;0.62944260138125	-7.6562889896082;-4.0107983954718005	-0.30917548442491993;0.82829972480492	#	#	-6.9031866717904995;-4.9652828248295	#	-6.8149383320479995;-4.846313093912	#	#	#	-7.8077317158314;-3.7085917895486005	#	#	-0.11108469355160006;0.5772441676276001	-8.7943239698798;-4.167870056220201	-0.4674928126235948;1.0104889612815948	#	#	-9.123447760456699;-6.7484283591033	#	#	0.051796664569597084;0.9092199866764029	-10.8291409274775;-6.7836440892825	0.2896466218523625;0.9511008355196375	#	0.49251742145785504;1.1647174867461452	-9.4266896169195;-7.669162577060501	0.49954925447469545;1.7522996224653045	#	0.67230829288203;1.80636389341797	-10.935612957035799;-7.6819360780042	#	#	0.7810999308588155;1.4752487491611843	#	#	#	0.6593000078043519;1.561082175035648	-10.8983737899439;-9.436833441256098	0.6386372975319399;1.10046120897006	park	1.0	1.0	1	5.430912	299618	283761	0.5375	5.430912	10	10
-5.8406135977811005;-2.8458632990189	0.19162600849709202;0.637326271652908	#	#	-6.5100536778163;-3.9474461352037	0.22230058781849998;0.6372614708894999	#	-0.26843767192150003;0.9563810028015001	-7.5145346081055004;-5.4259627523945	0.194280822201875;0.626636280958125	-7.90528163467615;-5.57703877920385	#	#	0.21537217821025;0.69106724534375	-8.6195263217408;-5.5595729691392	#	#	0.27444210662212004;0.8749787306118799	-8.39958337125795;-5.44253311970205	#	#	0.72881309719541;1.2736275356245899	#	0.40658726507008;1.25599163174592	-8.12425778596295;-6.19022940555705	#	#	#	#	#	-8.1738443537914;-6.2877362311486	-0.16550240800666005;1.02532480593466	#	0.23270894856901503;0.715170248458985	#	-0.12784026394912018;1.15200156542112	#	0.05937755875015993;1.2525796438338401	-9.49101197051;-4.75932421265	#	-8.4605299145689;-5.8835451842310995	0.26197057391934;1.26819864362266	-8.009747210542601;-6.3264654457174005	#	-8.57045446626945;-5.53440510603055	#	-9.3696171726244;-4.5136749185555995	#	#	#	#	#	-6.600759476083816;-5.863689275946999	#	#	0.804866763692085;1.783249064727915	#	#	-9.3700991869174;-6.8293807575626	0.888080696288154;1.665282078651846	#	#	#	#	#	#	#	0.5811762496193249;1.516064583940675	-9.90722163423765;-8.09551801454235	0.7537153312082157;1.3396440581517846	-10.631417962149099;-7.4217096895909	#	#	0.726790765900482;1.252092574345518	-10.49414663548905;-8.457641551390951	0.3373173130155005;1.4343951979424996	-10.7509357413456;-8.749792972114399	0.43167939951216;1.0386481659178401	-11.2230878130823;-9.4896329809177	#	home	0.1	1.0	1	2.75	285495	285495	0.5	2.75	0	0
-7.865637598936875;-2.760949589683125	-0.018618862082866647;1.018414315660364	#	#	#	#	#	#	#	#	#	#	-7.54247834029975;-5.91707762592025	#	#	#	-8.0216004055679;-6.0947041191921	#	#	0.6101422145715749;1.160473409560425	#	0.16630864915058996;1.50016468806341	#	0.25212010357251996;1.05036107091604	#	#	-9.1158599921513;-4.3062592203687	#	#	#	#	#	-8.201296530294;-5.508957725406	#	#	#	-7.642516724250401;-5.1413331659896	#	#	#	#	0.14964048354175996;0.92860798167255	#	#	#	#	-8.6190938210556;-5.272430916224399	0.05276860205659495;0.672279691927405	#	-0.34167341370328014;1.09996624059728	#	-0.0074032039303200126;0.98379242126232	#	-0.12007815530932009;1.0500809086953202	-8.8633746227676;-5.551747795915	-0.4174934557897049;1.018855028709705	#	#	-8.2730698760425;-6.8922446426975	#	#	#	#	#	-8.9604828276565;-6.1487223157435	#	#	#	#	#	-9.818973666022199;-6.917045638777799	#	-9.746899908089999;-7.18896048579	-0.18233838476048053;0.8119828955104806	-9.78446399386975;-7.498590940290249	#	-10.25597807687485;-8.0677841884775	#	#	#	home	1.0	1.0	1	7.6656880529836915	299059	286245	0.3125	7.6656880529836915	25	25
-6.11759411359085;-3.80346888272915	#	-7.04754848802161;-3.5969539919983897	0.933228641461305;2.146574368738695	#	0.85763993467202;2.00293197194798	-9.57234703868646;-3.6329765441629003	1.2540298619458499;2.07640811497415	#	1.17514743917275;1.4482052290412748	-6.432276545576648;-4.6795780326389	#	-7.793248009408;-4.422046527732	#	-7.6518516336436;-5.038141478296399	#	#	1.19229227922024;2.39336552719976	-7.5958198538521;-5.2576870968079	1.07857672842255;1.77899824931745	#	#	-8.5460404194143;-4.4117235676457	0.88025171455496;1.8404479551450401	-8.5814453856272;-4.3132448219728	0.99385706599075;1.91882241444925	-8.0351016648623;-5.2577265712977	0.9172718983460499;1.65632722253395	#	0.54628714331855;1.7240973619014501	#	#	-9.376092234467;-4.664499325912999	#	#	#	#	0.76657729463199;2.02370091998801	#	0.9509397494444201;1.9645571699555802	#	0.82290695715345;2.02600573614655	-9.0020311375076;-5.7601551459924	#	#	#	#	0.675984726326025;1.575275018073975	#	0.47435077463267983;2.04509248752732	-9.0894221885788;-6.0963993852612	#	#	0.6468678905791;1.2491556441109002	-10.495623015996;-5.934330425064	#	-10.5521074258777;-6.464230870462299	#	-10.291075486238801;-7.418959000881201	1.0060095306176962;1.584391954702304	-10.7048355983667;-7.85164200038718	0.801016698430995;2.230055568609005	#	#	-11.461847027051308;-8.496835632842249	#	-10.958272812470499;-7.9657267716295	1.005104908698606;1.8278066429013942	-10.3028297065594;-8.712065552680599	#	-10.3879024626645;-8.8490012360955	1.007079064896131;1.878785840263869	#	#	-11.35266002597185;-8.31868306394815	#	#	0.68069363368044;1.8079213427195602	#	0.9297850968153599;1.4575838527446399	forest_path	0.1	1.0	1	1.0	287230	287230	0.55	1.0	0	0
-6.11759411359085;-3.80346888272915	#	-7.04754848802161;-3.5969539919983897	0.933228641461305;2.146574368738695	#	0.85763993467202;2.00293197194798	-9.57234703868646;-3.6329765441629003	1.2540298619458499;2.07640811497415	#	1.17514743917275;2.1782121034872497	-7.4257106314011;-4.6795780326389	#	-7.793248009408;-4.422046527732	#	-7.6518516336436;-5.038141478296399	#	#	1.19229227922024;2.39336552719976	-7.5958198538521;-5.2576870968079	1.07857672842255;1.77899824931745	#	#	-8.5460404194143;-4.4117235676457	0.88025171455496;1.8404479551450401	-8.5814453856272;-4.3132448219728	0.99385706599075;1.91882241444925	-8.0351016648623;-5.2577265712977	0.9172718983460499;1.65632722253395	#	0.54628714331855;1.7240973619014501	#	#	-9.376092234467;-4.664499325912999	#	#	#	#	0.76657729463199;2.02370091998801	#	0.9509397494444201;1.9645571699555802	#	0.82290695715345;2.02600573614655	#	#	-9.12669868938945;-6.0906493291505495	#	#	0.675984726326025;1.575275018073975	-8.4284061129362;-6.428458713483801	0.47435077463267983;2.04509248752732	-9.0894221885788;-6.0963993852612	#	#	0.6468678905791;1.2491556441109002	-10.495623015996;-5.934330425064	0.726999045981855;1.996814372858145	-10.5521074258777;-6.464230870462299	#	-10.291075486238801;-7.418959000881201	1.0060095306176962;1.584391954702304	-10.7048355983667;-7.85164200038718	0.801016698430995;2.230055568609005	#	#	-10.00685516701775;-8.496835632842249	#	-10.958272812470499;-7.9657267716295	1.005104908698606;1.8278066429013942	-10.3028297065594;-8.712065552680599	0.8651235620542306;2.0180800892657693	-10.3879024626645;-8.8490012360955	1.007079064896131;1.878785840263869	#	#	-11.35266002597185;-8.31868306394815	#	#	0.68069363368044;1.8079213427195602	-11.490356340859101;-9.2130725417409	0.9297850968153599;1.4575838527446399	forest_path	1.0	1.0	1	2.0	296590	287230	0.6	2.0	2	2
#	#	#	#	#	0.7185482957918401;1.51527319128816	-6.7606892959846;-4.1592422742754	#	-6.5708245708082496;-4.66653846707175	#	-7.4372758641696;-4.0941579178504	#	#	0.87733556224786;1.6765032750321398	-7.3306142464052;-4.9719002037748	0.402943119234365;1.6618427487256349	-8.0366494337307;-4.249301560509299	0.72823307519104;1.2512811025369601	#	#	#	#	-7.475750300660801;-5.6382761443191995	#	-8.55329639716525;-4.88531153777475	#	#	#	#	0.48029353096833505;1.136502081321665	#	#	#	0.1960697302124499;1.3606314885675501	-10.3375513476064;-5.1622077948536	#	-10.471101892315;-5.2603028126049995	0.30417040065808987;1.77436582692191	-9.913136332268001;-6.398168283572001	#	#	0.19819648944845003;1.40129526844155	-9.787729729804798;-6.919916352695199	0.14654490056007496;1.433069654027925	-10.41876967305905;-6.34917159444095	#	#	#	#	0.38722081921791995;1.18335018054808	-9.7061091525084;-7.8842691852716	0.12435311838803997;1.03294910814796	#	#	#	#	#	-0.005974784160320046;1.1628895346683201	-11.1217440339905;-8.6362586139695	#	#	#	#	0.07183537657190753;0.9978712757060926	-10.842905319687748;-9.33288578551225	0.13694498746059003;0.71311647199341	-11.015446134422499;-9.3529205561775	-0.12376206575974247;0.9046151019937425	#	-0.17296909045557157;0.9043837300535715	-11.0494814029579;-9.4226429634421	#	#	-0.10638684940285104;0.7566089787568511	#	#	#	-0.22078400122743996;0.8197338840394399	-11.3999196065017;-10.4142296038983	-0.08485029813972506;0.8223038136137251	forest_path	1.0	1.0	1	1.6666666666666667	297345	287985	0.4625	1.6666666666666667	3	3
#	#	-6.99197718298791;-3.7355430001743386	1.134564914246605;1.962721521753395	#	1.48342979869462;2.13076877628538	-7.589100365045;-4.4921396249150005	1.4880761285675;2.3629466105125	-7.599018766596;-4.6504467350039995	#	-7.6856587656611;-4.9395261668989	1.19932811726069;2.22580047333931	#	1.29733073459844;2.59122131720156	-8.0336439818936;-5.4199338265464	1.300341941464365;2.559241570955635	-9.1852715449323;-4.3348084792277	1.5558498059984;2.4275965182416	-7.90529989068145;-5.63593574413855	1.3759125727265;2.3765147454335	-8.7683082086178;-4.3196930182822	1.31143460574359;2.64529064465641	-8.3122714920655;-4.7029472563945	1.4039881572731199;2.6780947072868804	#	#	#	1.55453425555915;2.1293550632608502	-8.10531617144005;-4.780145142439951	1.512052267752395;2.235564259167605	#	1.20933228489892;2.4164722004010804	-8.1806841972772;-4.680643750922799	1.367563114349505;2.082936765910495	#	#	-7.7740208433448;-5.5507465693352	#	-8.436024218521;-5.123842788018999	#	-7.8339868502041;-6.0112415531359	1.38660816560508;2.5240833748349196	#	#	#	1.2491475117852051;2.485756830594795	-8.6647474533804;-4.793117818379599	1.4767335330125548;2.256118452527445	#	#	#	1.2351081984264;2.0611045527536	-10.222216600735884;-5.19124075815025	#	#	#	-8.744541501118;-6.267040558442	#	#	#	#	0.8844219852824386;2.1297272864375616	-9.4807890381389;-6.621971272481099	1.1894492582787;1.9453969310413002	#	1.3464359948202311;1.864990330899769	#	#	#	1.280631544620416;1.8854611982395841	#	#	#	#	#	#	-11.103584630421802;-8.6736255534982	#	-11.5008121343245;-9.2915069560755	0.47885314122677003;1.69938776431323	home	1.0	1.0	1	2.5	297451	288091	0.5375	2.5	2	2
#	0.9309249607820921;1.376625223937908	-5.23620033350657;-1.26476138525343	1.3972305041005677;2.3667750213504553	#	1.3416148085371606;1.88183279780686	#	#	#	#	#	1.3221835120116001;1.9952801389484	#	#	#	1.1879962054882052;1.895049422051795	#	1.1988685499768799;2.5355468420831198	#	#	-4.9258516877786;-3.0003316800214	1.0009665101584238;2.38530805112472	-6.093444125270278;-2.5801113418762	1.11600140477304;2.0023363960869602	-6.53154172050655;-2.46341305827345	1.42133089537822;2.6792837692817804	-5.8643050644584;-3.9675610981216	#	#	0.9142927256112849;2.075277083928715	#	#	#	#	#	1.754332755213755;2.534236369986245	-8.217352376555;-3.006553296844999	#	-8.02984191294;-3.97410954906	1.89109474921534;2.8165715244646603	#	#	-8.069491207655417;-4.230981189566069	#	#	#	#	1.698162871972555;2.4775477914874453	-7.659706063557188;-3.1220858569764	1.5071845266355202;3.0564092297644803	-7.887899190393799;-3.2682335591862	#	#	1.27668884008618;2.01664236585382	-8.6384620207604;-4.8591053025596	#	-8.706409724580398;-4.266855348433699	1.40820176081859;2.51444834828141	-9.2295765614506;-5.1423338707494	#	#	1.1903758890522664;2.5989999182277335	#	1.5026821981687;2.2586298709313	-8.26115150897575;-5.51797426471375	#	#	#	#	1.4437033947090225;2.2942450951109774	#	#	#	#	#	#	-9.188923992851752;-7.2235159159282505	#	#	#	forest_path	1.0	1.0	1	5.5600000000000005	297505	288145	0.425	5.5600000000000005	6	6
