A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-5.60386874943075;-3.5619935457292504	#	#	0.464741878640315;1.023266102307685	-7.3679213230572005;-4.4392269886428	#	#	#	-8.0261062714035;-4.4632483998965	0.40871049828287503;0.979419703841125	#	#	#	0.13799484825646013;1.31771861474754	#	#	#	0.23483357187608;1.2809296265679202	-8.0707168894534;-5.5950469114066	0.3887288148272;1.1892105529928	-8.1449793720756;-5.8874731560844005	0.058042225993750085;1.46704508400025	-8.8031660591133;-5.3250899774667	#	-8.6179093019204;-5.4167588791796	0.07485870468580491;1.3143122716201951	-8.2002387127302;-5.8970496107498	0.33366125647322;0.95775241912078	-8.9577038329219;-4.7503445717381	0.038911514240695055;1.0989407109653049	-9.348781857213751;-4.29670652870625	#	-7.3253974384575;-5.642685685402499	0.24475034252590996;0.67730185277209	-8.2448337094646;-3.9786721321954	#	-7.7385623533692005;-5.793197363610799	#	-9.387865009051001;-4.723772790589	0.15044243352774994;0.70132146641425	#	#	-9.3646446815128;-5.873393613727201	#	-9.321108663396199;-5.9620753286638	#	#	0.04338012815782;0.76281236155618	-8.758994974939;-5.8558455241209995	-0.3298253955947601;1.04726322940876	-9.3880981256358;-5.419089625584201	#	-8.51368591689025;-6.33208715308975	0.010024581001039923;0.93926854359296	#	-0.03506284045491498;0.943319460580915	#	-0.16851715517416999;1.10471004926417	#	0.14422245343137396;0.740679328268626	-10.3157600708092;-7.8164259382108	-0.019916577750674402;0.8579215853586744	#	#	-9.99997831951875;-8.698237341781251	-0.39876486744102496;1.041663843891025	#	-0.08753096118975356;0.6790774729537535	#	#	#	-0.12134604942094948;0.5040088111689495	#	-0.46273869913573956;0.7942334853577395	#	#	-10.992149067401801;-8.562189990478199	-0.4561319837296801;0.7578055490816801	#	-0.343383624128885;0.695720176606885	home	0.04633621169505929	0.5409836065573771	1	32.86135004470138	9904	5	0.575	32.86135004470138	33	61
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	#	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;1.35662410426047	#	#	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	-10.2506500490378;-9.2500786644222	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	1.0	1.0	1	8.3504	9635	15	0.5375	8.3504	8	8
-5.59879649129185;-0.5621709888281501	#	-5.73204195075346;-1.95591967208654	0.08915070258589497;1.1869396939321049	-5.17229371771525;-3.0367874322047497	0.24667578669584;1.04340068219216	-5.4734030100616;-3.4913481363783996	0.21737412872234996;1.2147264781396498	#	0.35772069980975;1.22243161732225	-6.3732283746039;-3.1495074977961	#	#	#	-7.0125946324;-2.23141751896	0.44961800846919997;1.1394260246288002	#	0.09666635257048006;1.53020539048152	-6.311913106317699;-2.3233336972423	0.3294607543184749;1.480153252931525	#	#	-5.6992105255728;-2.5492548289872	0.3205507346074799;1.26228166287852	#	#	-5.6876447673617;-3.045751385678299	0.31833490135418996;1.15593093543381	-5.72427109989575;-3.3491489363242497	#	#	0.3867018414219999;1.202336919464	-6.129961646354;-3.4376228414659993	#	-7.141593650619;-2.5956837732010003	#	-6.388616078320201;-3.4010912726198	#	#	0.5669088448162899;1.1618582003337101	-7.047970069473401;-4.156718908606599	#	#	#	-7.19057372367595;-4.8004923124240495	#	-6.885353986161199;-5.1135912718388	#	#	0.49565712651664007;1.6575756538633601	#	0.7606347841400298;1.44208177645997	#	#	-8.5364562961532;-4.366131641586801	#	-7.7143939397097;-6.1040183269703	#	-8.4626623237732;-6.9161380624268	#	#	#	-10.558134965071499;-7.591437283728499	0.7271038092733749;1.6720384002266249	#	0.803893854080462;1.8410025262395382	-10.949162036538999;-7.434107956820999	1.070718666740022;1.5942561339599781	-11.238427152963851;-8.18946252469615	0.5214659619718345;1.8256299025881655	#	#	-11.4647095090175;-8.608343820782501	0.6812582851988155;1.3754071035011846	#	#	#	0.506559123779576;1.390999326256424	#	0.38207468752983;1.14078539917817	city_center	0.004115226337448558	0.3333333333333333	1	15.290227855360001	9389	29	0.5375	15.290227855360001	5	15
-7.5348970489317;-2.9066465872083	0.047852120859411984;0.637326662452588	#	-2.671892015498889e-05;0.519978592770155	#	#	-8.2650264786197;-3.9912206572403006	-0.16346720800844988;0.90387477996445	#	-0.003003500586499952;0.7579421068245	-9.00453638893175;-5.72111697736825	#	#	#	-9.540013809934;-5.396326978286	#	-8.9014287791779;-6.9745324928020995	-0.11868379733331996;1.02427300316332	#	-0.14202215665297502;1.042023747716975	-10.1702924673338;-6.3856496934662	0.09540621204147004;0.90323451729853	#	0.0580751032556;0.1705278444094882	#	-0.004568059446795031;0.494913228720795	#	0.77789439209247;0.8494573543734264	-10.608752485084949;-7.1478601895950495	#	-10.2053978051119;-7.645679638668099	-0.035482617377680103;0.8454032669076801	#	-0.10668660955697001;0.8582359902229699	#	0.059078234944304975;0.639006563877695	#	-0.4208852321685201;1.02800301400452	-10.438830942165;-8.072987063234999	#	#	#	-11.224429395026199;-8.1695847107138	0.10163893795243001;0.61624883933957	#	-0.3910771400460849;0.880366244082085	-11.195007165487599;-8.1764484670124	#	#	-0.08909692912528;0.81461748103328	#	#	#	0.06643134151479996;0.5826779873992001	-12.2206513483832;-8.0503266938168	#	-12.48962637372495;-8.09206220047505	-0.10419799396001;0.5845970510640099	#	#	#	-0.16636416846887342;0.4256662206048734	-12.172274406963199;-8.7201171050368	-0.18727851872257253;0.43637831130657256	-12.3104882622325;-8.665613524567501	-0.29578682577397397;0.510853252571974	-11.962739615003;-9.207697228197	-0.409185830307129;0.600493570759929	#	#	#	-0.542534510116699;0.708175211063099	#	#	-11.63768662565525;-9.76742685454475	-0.5398722154408061;0.683099853002406	-11.63868118604635;-9.81621187835365	#	-11.9115108708477;-10.2460346595523	-0.36270720330683504;0.511459486201035	office	0.00041152263374485585	0.3333333333333333	1	2.68	34	34	0.5625	2.68	0	0
-4.191368645796875;0.913319363456875	#	#	#	#	#	#	0.06306740878869999;1.0079275292893	-5.56629368381525;-1.45057855638475	0.20912763228887501;0.641483091045125	-4.32760895896625;-2.8351455900737497	-0.16255242517328006;0.9817118406192801	#	#	#	-0.08490169480375498;0.760113124991755	-5.8900852339952;-2.434960858424799	#	#	#	#	#	-5.1732602271547;-3.4014101478253	#	-5.8253550831591;-3.0243484632609006	-0.24757137191985507;0.9178849671378551	#	0.0604868962747;0.5531904457332999	-6.0273162662830995;-3.4486122029769	#	#	#	#	#	#	-0.27524830859212013;1.00459352077812	#	-0.10298477751745011;1.06891012747545	#	#	#	#	-6.931115765521801;-3.1281458523982004	-0.09794797032593006;1.36671097977593	#	#	#	#	#	#	-7.4387902882114005;-3.3396503619286	#	#	0.75319060605976;1.20060436582624	-7.6738473712876;-4.2854585894524	#	-8.70884012561875;-4.06352585810125	0.7237771268008999;1.3499544404591	#	0.4266424483753919;1.583407296544608	-8.931194510053;-5.286332233347	0.28444715908326657;1.6930711882587333	#	#	-8.899200463967;-6.191579230273	#	#	0.642035889582022;1.165573356801978	#	0.38912767254982705;1.409777713032173	-9.436279775038301;-7.281818057841701	#	-9.4520841543075;-7.789423529812499	0.3266499964813715;1.4710575077366284	#	0.17334962253574648;1.4862461077762534	-9.722061668337801;-8.7214902837222	0.31611463774457593;1.200554840221424	-9.6827930775417;-8.697103074938301	0.245138259830175;0.8224181491278251	metro_station	1.0	1.0	1	25.12323438592	9404	44	0.45	25.12323438592	15	15
-3.6753981931567252;1.0209147753567254	0.673417928651488;1.162250475338512	-3.9444635897647204;-0.2985524241552797	0.23426502702883512;1.409091842329165	#	0.23194503167201996;1.37723706894798	#	0.37333585499605004;1.26570374657995	#	0.3015341398783751;1.079773965639625	#	#	#	0.09037825326551002;0.98468497947649	#	#	#	0.22434593904479994;0.9992319054832	#	#	-5.126273895242;-3.1343566458379994	#	-5.4472550752969005;-3.5441568419431	#	-5.4845158049023;-3.7505593259177	#	#	#	-5.82969537483595;-3.72601574424405	-0.093182147013125;1.168757372897125	-7.21264655920365;-2.2952932394563503	-0.06684173889450007;1.1566108781685003	-5.6115069268919004;-3.6595612933481	0.28003853778515503;0.829046223866845	#	#	-6.34452406994;-2.8706580168	0.10371402985461997;0.99861559366738	#	#	#	#	#	#	#	#	-6.8553106162536;-4.8210645368464	-0.054287608758075034;1.244687257100075	-7.1927665161278;-4.6767036587522	-0.2084006307120001;1.4053751017140002	#	0.058881301788959894;1.2152761978470399	-7.45243621769725;-5.00640124010275	0.22069003317851993;1.11551755271148	-8.4276165260742;-4.5830984851458005	#	-8.76958855607975;-5.3630247599002505	#	#	#	#	0.37647043979494105;0.907256305861059	#	0.12235935788171248;1.1617874079302877	#	0.08697958615646195;1.124088258315538	-10.141514082475501;-7.623975349704501	#	-10.5496053686956;-7.7215802062444	#	#	#	-10.391668130265;-8.260051945015	0.012035039672778969;1.2502464452932212	-10.1535255744811;-8.5741951010989	#	#	#	#	#	metro_station	0.06391305182160717	0.5769230769230769	1	17.0883466242794	9411	51	0.4625	17.0883466242794	15	26
#	#	#	#	#	-0.0017487058890600093;0.7119840129930599	-6.530101020380199;-3.1853834210397998	-0.14973814235529997;0.7951219781453001	#	-0.230702628718375;0.928010000748375	-6.416969038539699;-3.9096305788003	-0.12233372638605006;0.8031741356520501	-7.127930020425;-3.515928432915	#	#	0.20719891635418997;0.86251653170581	-6.9718056193687;-4.5133517367513	#	#	-0.04636905235140004;1.0209399318694001	-7.0546687550724005;-4.6643680557876	-0.012237522038760051;1.03981794527276	#	#	-7.9978375986159005;-4.1297808378041	0.0014509366137299695;1.1484079687022701	-7.7349559337944;-4.4833948486456	#	#	#	#	#	#	0.12303020069285497;1.004769817733145	#	0.23074206256315993;1.19062343459084	#	#	#	-0.16340917131883015;1.40108728207883	-8.4390012106892;-5.422043477610799	#	-9.036980737913199;-5.0469795175867995	#	#	#	#	0.69204607857637;1.21163602491963	-8.137163504437801;-5.6211006470622005	#	#	0.6301953988455;1.6626908417545	-8.35367561150125;-5.37876820631875	#	-8.668423135725199;-5.1497117084348	#	-8.76629658229285;-5.48360783324715	#	-9.2395054269609;-5.870291857599101	0.688341825544476;1.447468757155524	-8.8725502115328;-7.2063274564672	#	#	0.2496058386354525;1.4402234232365476	#	0.5693196740455899;1.14549115857841	#	0.32587662986497645;1.4664403977370235	-9.908596024308999;-7.257322434510999	0.030587451638837027;1.4292560256331628	#	0.3035780724005281;1.213185142349472	-9.29049162605;-8.09678656231	0.4088453783697415;1.1780373121642587	#	0.203293839897689;1.246417074746311	#	#	-9.741646398304699;-8.4160632913553	0.13019531800043493;0.905399740771565	bus	0.28462802079628785	0.7777777777777778	1	27.38047200027126	9474	72	0.5	27.38047200027126	21	27
-5.31222176052155;-1.0923463395384498	0.20026827245669598;0.602836252081304	#	#	-7.2888719339399;-3.2619172241201	0.16737576247865996;0.61553351619534	#	-0.006865388168349973;0.7455232263043499	#	-0.08178759921537504;1.215278777053375	-7.6211391531888495;-3.97952853309115	-0.0244229799315;0.8169478037395	-7.30325884206625;-4.594257651433749	-0.022481035749800038;0.7386310716638	-8.224293743582;-3.761861771038	#	-7.990708124486;-4.004026152673999	#	-7.366494893316;-7.314442520401238	0.105527762128025;0.6225055513599751	-8.330737314888001;-3.6829303996119997	-0.13048264615763;0.8652127068336299	-8.2887837352826;-3.9575946524774	-0.380742344397;1.004156079531	-8.04052297252815;-4.50591938075185	#	#	#	-8.318714828607401;-4.7899618998726	-0.008474472781725029;0.5804306365097249	-8.85675213204315;-4.613008856096849	#	-8.158549475454;-5.466210670565999	#	-9.111249014224601;-4.8450874369554	-0.16447767912802008;0.7154135785640201	-8.5855371333432;-5.945398932956801	-0.16257050358377;0.75363824031977	#	-0.03561490044771004;0.5593344550697101	-9.6972484398259;-5.2346651263141	#	#	#	-8.88252428506115;-7.00921723299885	#	-9.3285039429184;-5.128770101561599	-0.18976313047373;0.7295113899797301	#	#	-8.8942308981678;-5.5758795292722	-0.52066525016948;0.96612818761948	-8.8682696374055;-5.8272531787745	-0.18265047360378006;0.62613593828178	-9.5062830102982;-6.9649914239218	#	#	#	#	-0.34129985348293007;0.83353944543893	#	-0.29695064179756137;0.9483546593575614	#	-0.3178741282910151;0.853844764491015	#	#	-9.17860592028321;-8.819644803504	-0.05785176495725902;0.5778723023812591	#	-0.33763615474636843;0.8531222258163684	#	-0.016910679656442024;0.5136934444804421	#	-0.009105180435036497;0.5349574068830365	#	-0.35645571484033556;0.8845012369623355	#	-0.13935989466996004;0.5543186955079601	-12.0693967066629;-9.588177044937101	#	residential_area	5.41922809869769e-05	0.2222222222222222	1	3.4403200000000003	77	77	0.6	3.4403200000000003	0	0
#	-0.17390395768149597;0.8612708470674959	#	#	#	-0.16062338315868002;0.7356921242746801	-7.2247286407649;-2.7031659601751006	-0.053353353558549976;0.62904562235855	-7.1294475217955;-2.5837323064245	#	#	#	-5.5971125200452505;-3.61051164691475	#	-7.05997622406;-2.2787991106199996	-0.12074926847675999;0.7070203509147599	-6.7406698224101;-3.3519901463698996	-0.17516021184703995;0.7547029478790399	-6.143494848746251;-4.42427958621375	-0.10784180096435003;0.65928653144435	-6.1326292865486;-4.2071092787914	-0.28518975619389;0.82322582543789	#	-0.33669769208680006;0.8635476086508	#	#	-7.232243312221001;-2.4903833963789994	#	#	-0.137064472863545;0.6537509596135449	-7.0269916679331;-2.8506093963669	#	#	#	#	#	#	-0.36905389007156997;0.97329845564757	-7.7223312305;-2.99064347264	#	#	#	#	-0.18140348256414002;0.8478163202101401	#	#	-7.6130984412344;-1.967495742879343	#	-7.587248699419599;-4.4905559518804	-0.04361686305804002;0.62341043967804	#	#	-7.3483512152385;-4.5717709704015	#	#	-0.17811020734490993;0.6129222913649099	-8.85363454611905;-5.8186958913409494	#	-8.7682502809332;-7.2217260195868	-0.15428972481277797;0.7313583620667781	#	#	-10.5850061304219;-7.1867887863381	#	-9.7713532095115;-8.0009854797885	0.2073314399844619;1.244440112143538	-9.654769874254;-7.564737718746	#	-9.94381815533425;-7.955362962985751	0.7085897960370173;1.3701222296829825	#	#	#	0.41590271401640844;1.5227886675255915	#	0.670538842345656;1.2460551098483441	-11.0201246176895;-8.5186961561505	0.448169356709472;1.263241700168528	-11.032180248657399;-9.7405864521426	0.177532568409015;0.886762146688985	park	0.13168724279835387	0.6666666666666666	1	26.026132479999998	9458	98	0.5125	26.026132479999998	8	12
#	#	#	#	#	-0.0017487058890600093;0.7119840129930599	-6.530101020380199;-3.1853834210397998	-0.14973814235529997;0.7951219781453001	#	-0.230702628718375;0.928010000748375	-6.416969038539699;-3.9096305788003	0.6986891313895753;0.8031741356520501	-7.127930020425;-3.515928432915	#	#	0.20719891635418997;0.86251653170581	-6.9718056193687;-4.5133517367513	#	#	-0.04636905235140004;1.0209399318694001	-7.0546687550724005;-4.6643680557876	-0.012237522038760051;1.03981794527276	-7.0520121298533;-3.5739360482066997	#	-7.9978375986159005;-4.1297808378041	0.0014509366137299695;1.1484079687022701	-7.7349559337944;-4.4833948486456	#	#	#	#	#	#	0.12303020069285497;1.004769817733145	#	0.23074206256315993;1.19062343459084	#	#	#	0.23801023574495062;1.40108728207883	-8.4390012106892;-5.422043477610799	#	-9.036980737913199;-5.0469795175867995	#	#	#	#	0.69204607857637;1.21163602491963	-8.137163504437801;-5.6211006470622005	#	#	0.6301953988455;1.6626908417545	-8.35367561150125;-5.37876820631875	#	-8.668423135725199;-5.1497117084348	#	-8.76629658229285;-5.48360783324715	#	-9.2395054269609;-5.870291857599101	#	-8.8725502115328;-7.2063274564672	#	#	0.2496058386354525;1.4402234232365476	#	0.5693196740455899;1.14549115857841	#	0.32587662986497645;1.4664403977370235	-9.908596024308999;-7.257322434510999	0.030587451638837027;1.4292560256331628	#	0.3035780724005281;1.213185142349472	-9.29049162605;-8.09678656231	0.4088453783697415;1.1780373121642587	#	0.203293839897689;1.246417074746311	#	#	-9.741646398304699;-8.4160632913553	0.13019531800043493;0.905399740771565	bus	0.0	0.0	1	29.48	106	106	0.5	29.48	0	6
