A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-7.5348970489317;-2.9066465872083	0.047852120859411984;0.637326662452588	#	-2.671892015498889e-05;0.519978592770155	#	#	-8.2650264786197;-3.9912206572403006	-0.16346720800844988;0.90387477996445	#	-0.003003500586499952;0.7579421068245	-9.00453638893175;-5.72111697736825	#	#	#	-9.540013809934;-5.396326978286	#	-8.9014287791779;-6.9745324928020995	-0.11868379733331996;1.02427300316332	#	-0.14202215665297502;1.042023747716975	-10.1702924673338;-6.3856496934662	0.09540621204147004;0.90323451729853	#	0.0580751032556;0.1705278444094882	#	-0.004568059446795031;0.494913228720795	#	0.77789439209247;0.8494573543734264	-10.608752485084949;-7.1478601895950495	#	-10.2053978051119;-7.645679638668099	-0.035482617377680103;0.8454032669076801	#	-0.10668660955697001;0.8582359902229699	#	0.059078234944304975;0.639006563877695	#	-0.4208852321685201;1.02800301400452	-10.438830942165;-8.072987063234999	#	#	#	-11.224429395026199;-8.1695847107138	0.10163893795243001;0.61624883933957	#	-0.3910771400460849;0.880366244082085	-11.195007165487599;-8.1764484670124	#	#	-0.08909692912528;0.81461748103328	#	#	#	0.06643134151479996;0.5826779873992001	-12.2206513483832;-8.0503266938168	#	-12.48962637372495;-8.09206220047505	-0.10419799396001;0.5845970510640099	#	#	#	-0.16636416846887342;0.4256662206048734	-12.172274406963199;-8.7201171050368	-0.18727851872257253;0.43637831130657256	-12.3104882622325;-8.665613524567501	-0.29578682577397397;0.510853252571974	-11.962739615003;-9.207697228197	-0.409185830307129;0.600493570759929	#	#	#	-0.542534510116699;0.708175211063099	#	#	-11.63768662565525;-9.76742685454475	-0.5398722154408061;0.683099853002406	-11.63868118604635;-9.81621187835365	#	-11.9115108708477;-10.2460346595523	-0.36270720330683504;0.511459486201035	office	0.00041152263374485585	0.3333333333333333	1	2.68	34	34	0.5625	2.68	0	0
-5.31222176052155;-1.0923463395384498	0.20026827245669598;0.602836252081304	#	#	-7.2888719339399;-3.2619172241201	0.16737576247865996;0.61553351619534	#	-0.006865388168349973;0.7455232263043499	#	-0.08178759921537504;1.215278777053375	-7.6211391531888495;-3.97952853309115	-0.0244229799315;0.8169478037395	-7.30325884206625;-4.594257651433749	-0.022481035749800038;0.7386310716638	-8.224293743582;-3.761861771038	#	-7.990708124486;-4.004026152673999	#	-7.366494893316;-7.314442520401238	0.105527762128025;0.6225055513599751	-8.330737314888001;-3.6829303996119997	-0.13048264615763;0.8652127068336299	-8.2887837352826;-3.9575946524774	-0.380742344397;1.004156079531	-8.04052297252815;-4.50591938075185	#	#	#	-8.318714828607401;-4.7899618998726	-0.008474472781725029;0.5804306365097249	-8.85675213204315;-4.613008856096849	#	-8.158549475454;-5.466210670565999	#	-9.111249014224601;-4.8450874369554	-0.16447767912802008;0.7154135785640201	-8.5855371333432;-5.945398932956801	-0.16257050358377;0.75363824031977	#	-0.03561490044771004;0.5593344550697101	-9.6972484398259;-5.2346651263141	#	#	#	-8.88252428506115;-7.00921723299885	#	-9.3285039429184;-5.128770101561599	-0.18976313047373;0.7295113899797301	#	#	-8.8942308981678;-5.5758795292722	-0.52066525016948;0.96612818761948	-8.8682696374055;-5.8272531787745	-0.18265047360378006;0.62613593828178	-9.5062830102982;-6.9649914239218	#	#	#	#	-0.34129985348293007;0.83353944543893	#	-0.29695064179756137;0.9483546593575614	#	-0.3178741282910151;0.853844764491015	#	#	-9.17860592028321;-8.819644803504	-0.05785176495725902;0.5778723023812591	#	-0.33763615474636843;0.8531222258163684	#	-0.016910679656442024;0.5136934444804421	#	-0.009105180435036497;0.5349574068830365	#	-0.35645571484033556;0.8845012369623355	#	-0.13935989466996004;0.5543186955079601	-12.0693967066629;-9.588177044937101	#	residential_area	5.41922809869769e-05	0.2222222222222222	1	3.4403200000000003	77	77	0.6	3.4403200000000003	0	0
#	#	#	#	-4.03864416827615;-1.5370510909638497	0.08734835317498002;0.60189984818302	#	-0.012926514062999994;0.20527466988697035	-4.87800453136475;-1.62228957981525	0.17937526076087504;0.611730719517125	-5.2283151433724;-1.4076089190076	-0.28400900623212005;0.92756492225412	-4.701415912477;-2.052614748303	0.03428977232690006;0.6051238528870999	#	-0.23717036193868002;0.86652246391668	-5.0213935741962;-0.9018222033238001	0.046183695895039956;0.56923172324096	#	#	-4.4706362129534005;-1.0843768889666	-0.15569151748979;0.7648570164077899	#	#	#	-0.3330834761450251;0.8693714768510251	-5.5877039990001;-1.0490666509798996	#	#	#	#	#	-5.7285613472827;-1.8919785503172994	0.02748333256687499;0.44339824626512503	-6.3083399336576;-1.6924929812023999	-0.2969204909654802;0.8229411097334802	#	-0.24860826949749998;0.8167507350415	-6.6065897324;-2.5508573685200004	#	#	#	-6.331553970164;-4.4612408981359994	-0.22012024444335998;0.72992880427136	-6.12308048290115;-4.24977343083885	#	-6.1903663860456;-4.4842245129944	-0.42988238434932;0.84910825280332	-6.3807026848956;-4.5742985821644	#	#	#	-7.94186102415925;-3.90920876380075	-0.3770642204095801;0.7758866220655801	-8.6718465288698;-4.045392615210201	#	-8.4074239146194;-5.1866726891406	-0.06961301423403998;0.59830945366804	-8.7015256666064;-5.6084771439136	#	-8.3254789054723;-6.3989088449277	-0.0322797546067739;0.7026545214847739	#	0.034804299547427475;0.6584611295765725	#	0.02339275464394902;0.657181387630051	#	#	#	-0.16664355315257157;0.9107092673565715	#	#	#	-0.326374374859369;1.0619232617453689	-9.767399552973151;-8.64524369030685	#	#	#	-10.6300262600485;-9.1005072904915	0.089167277967595;0.7324220117564051	city_center	0.013168724279835387	0.6666666666666666	1	7.0	110	110	0.5375	7.0	0	0
#	0.00680564232633607;0.696922178825664	-9.019412261905309;-4.91776220059469	#	-8.86496367907795;-5.63119701816205	#	#	-0.35967282664729994;0.9351354866313	#	#	-9.0137897554283;-6.7452454347117	#	-9.8572750306335;-6.1248733902065	#	#	0.03882180700014504;0.538932618715855	#	#	-10.028829718038999;-5.902713087961001	-0.09091659799012503;0.6595350315401249	#	0.2554193115670987;0.67823109193653	#	-0.00211605863856007;0.5149126862945601	-10.727039056884301;-6.3254572256157005	#	#	-0.21045720346905006;0.6928326372050501	-10.92879114936455;-6.92501378791545	-0.32056167051777495;0.773119246737775	-11.14310408286305;-7.03408281567695	-0.11103887758580008;0.5414691848478	#	-0.0012865812080550265;0.447901525586055	-10.997895603611399;-7.5709789267886	-0.30171385788670513;0.7181600998927051	-11.6060281443768;-7.2984342384832	-0.14860597966587002;0.5545309633298701	-10.919895057801;-8.283669021279	-0.40699095500542015;0.7829077560294201	#	-0.56845746654228;0.91901011475828	#	-0.16008467175468502;0.4930740492366851	#	-0.160062581174865;0.484367627218865	#	-0.13947332171965;0.46005353944565	-11.588604635461799;-7.7822531332782	-0.3222732213198;0.6459922181358	#	-0.17748519910279004;0.46266197550079	-11.15564186834575;-8.57738878385425	-0.16913021006964005;0.45036576499164005	-11.500689687834798;-8.5032688423652	-0.24403902979046496;0.526176824216465	#	#	#	#	-11.5681136215471;-9.0167100278529	-0.32776941710764745;0.9991952480576474	-9.668919500772624;-8.6871237637794	#	-12.138491736685001;-9.014313390115	-0.555069642193837;0.8085362045338369	-12.176896475724;-9.136849704075999	#	#	-0.505275500508069;0.666581953379069	-11.3056039639909;-10.1184515892091	-0.5092409565906929;0.665668175426693	-11.65094337721;-9.117025253269029	#	#	#	#	#	-11.7100611688574;-10.418467372342601	#	forest_path	0.02373046875	0.75	1	6.0	165	165	0.575	6.0	0	0
-5.942707357966175;-2.743769538833825	#	-7.12351475559338;-2.3057035724666197	-0.3308763899353449;1.075063897227345	-6.47954644516615;-3.97795336785385	-0.018376724362680064;0.87793878307068	-6.879508712999;-5.021332268921	-0.08471487071304995;0.77265820159305	#	-0.12566221727774995;0.94657932043775	-7.935130902054;-5.547189511826	#	#	#	-9.127434182754001;-4.9837473511059995	0.14824085745116;0.70008727037884	-9.2436919424515;-4.924786472988499	0.20663958455876003;0.9427812526752399	-7.9525874029995;-5.889529087960501	0.45812752606499996;1.125195641203	#	#	-8.3808935099345;-5.4278100443855	0.5081464828247999;1.1544324139912001	-9.091271976165899;-5.2232152153541005	-0.28513206658070506;1.065317342168705	-9.440189029349801;-4.969292537270199	#	-8.97851945404985;-5.38190589207015	#	-9.21793992168295;-5.24364066325705	#	#	#	#	0.1521251362256199;0.87203616524638	#	-0.08977270188530007;1.4017299044693001	-8.916449885627;-5.333886297533	0.1991036734737699;1.3228969005622302	-8.8690762742566;-5.474998824543399	-0.03333549001532998;1.56350470755733	-8.7890443238876;-5.547168332372401	0.44616043257553;0.5023467373343047	#	#	-7.8603378233868;-6.0229542677931995	0.55557116446776;1.51481414233224	#	0.79866761241764;1.42266089562236	#	#	#	0.88728708970618;1.62724061547382	#	#	#	#	#	0.797708442524934;1.755654332415066	#	0.8657127857756695;1.4169134928443305	-9.5892404880411;-7.0540624694389	#	-9.1114608598335;-7.7576502429865	#	-10.163830061279501;-7.4562884052805005	#	-10.547946085105501;-7.4547935636745	0.6308593078168221;1.4625000815431781	#	#	#	#	#	#	#	0.336298593362696;1.134028972067304	-11.5119969517764;-9.2007238422236	#	home	0.1	1.0	1	1.0	275	275	0.5375	1.0	0	0
-5.397990145815675;-3.560302462484325	0.6128234685255041;1.647998273274496	#	#	-6.37780393274035;-2.1678058270196496	1.31796766188344;2.44666126383656	#	#	-5.6763644569355005;-3.5877926012245	#	-6.81189167721745;-3.40907519614255	1.3285799098216;2.0016765367584	#	#	#	#	#	1.53521538635464;2.15512415950536	-7.6183046853929;-3.0795763923071	#	#	1.34670958125476;2.17332459128524	#	1.4641794407087199;2.18432662115128	#	#	-7.1163879608989;-2.8487140366410997	#	#	#	-6.36251051567205;-3.6007093360879496	1.09640094281312;2.14041384270688	-7.359629828875901;-2.7153453904441	#	-7.1111555535874;-2.9848681263926005	1.14715914063834;2.18703062700166	#	#	#	1.4091959173966297;2.92962204816337	#	#	#	1.32810562203198;2.04064240856802	#	1.1906214922234302;2.34014564773657	#	#	-6.8517693380804;-3.4970188615796	#	-6.1567338587561995;-4.269828178403801	#	-7.37604922930775;-3.21117886205225	1.08441497993086;2.13411649322914	-6.7071586688654;-4.556835018854599	0.69502854849307;2.23546025650693	-8.10692101579425;-4.08098198394575	#	-7.4103654906777;-5.5876761826623	#	-7.780960917118099;-5.7502519343819	#	#	#	-7.64436389710775;-6.13434436293225	#	-9.038183730841;-5.903135497578999	1.378514441580022;1.902051908799978	-9.2390425435589;-6.3226415947811	1.0051528463254285;2.082505666834572	-9.4130506145191;-6.203342341960901	#	#	#	-9.6100686222884;-6.617652988511599	#	#	#	#	0.8556217618783849;1.4658890734216148	home	1.0	1.0	1	3.896	28483	403	0.4625	3.896	7	7
-5.925721353506074;-2.999033561533925	#	-6.3207388580385;-3.0654610316015	#	#	#	#	-0.24573844976770004;0.9090905863997001	#	#	-10.721508909266865;-4.3205610446291	-0.056685078654889975;0.13963732258005557	#	#	#	-0.15157754216067998;0.95211528369468	-8.5983933352221;-3.8808196685779	-0.018603788894039963;0.91125937083204	-9.45567692185485;-4.71064279726515	#	#	#	-8.1044848202596;-5.7420180478204	0.12867676910739995;0.6826361386786	#	#	#	0.006294209837640008;0.92600750216036	#	-0.10619790644651;1.00430887107451	-8.868940317133351;-4.35575302366665	0.16113576671855995;0.68314221666544	-7.7395732754985005;-5.383776821221499	-0.09850493745200511;0.8497810657800051	-7.6723817915626;-4.8049617150374	#	-7.503562082124801;-5.2802878081152	#	#	-0.1844423004643101;0.8512102813623101	#	-0.19792996593008005;0.85204715028208	#	#	#	-0.21468539854056995;0.93483875697257	-8.455599992325201;-4.0590036271548	-0.3868844294646251;1.111932723448625	-6.971026510765;-5.358165704755001	-0.26636387952340007;1.0246567064174001	#	-0.1769090845068601;0.93818599383486	-8.1052536500365;-4.2709285500235	#	-8.5165879800208;-4.2159406799992	-0.13929268922480498;0.880722901216805	-8.92451481696495;-4.52695064371505	0.042309336474019965;0.75197695861998	-9.1943837348599;-5.2728400721601005	-0.28386138151314994;1.07172242493515	-9.2992459730856;-5.9668004629544	#	-8.7667547321311;-6.2315767135289	#	#	#	-9.511656232456499;-6.7091131148434995	#	#	0.0976020434502155;0.6835307703937845	-9.401271904524899;-7.334747400275099	#	-10.00356831744;-7.1045703055	#	#	#	#	#	#	-0.19129446010504497;0.979759029613045	home	0.1	1.0	1	1.5	542	542	0.5125	1.5	0	0
#	0.5860796211141839;1.477480147425816	#	#	-4.99509234070555;-2.73755712459445	0.12222224763676004;1.31730959088124	#	#	-6.59961346916375;-2.6067555097162503	0.3975559024843751;1.452503221849625	-6.1748361574411;-3.4287035586789	#	#	0.45651576571116004;1.44596150534884	#	#	-6.9201833504713;-2.7341672800686996	0.27143307859268007;1.41438987908932	#	#	-6.040725126413401;-2.6544658024266	0.27064891438949995;1.2099841530605	-6.295892202521601;-2.6209438898384	0.24634259906855993;1.11421227806344	#	#	-6.913830443510401;-2.3074522395495998	0.39716299527962995;0.84059618979237	#	0.43306959318615507;0.8873678203538451	#	0.21042427907675998;1.3849387914572402	-7.7216226071892;-2.8754127583908	#	-7.1528623563786;-3.5860715294814	0.2540569042719698;1.5738937908100301	-6.9314257066074;-4.0828555430326	#	#	#	-7.5782700796873;-5.2526984937727	0.12391651614909005;1.67700766721291	#	#	-8.81743427169515;-4.360255423684849	0.5284281767274599;1.43411387501054	#	#	-8.008564342769;-5.105414891951	0.32099648987359997;1.6120170758144001	-7.6524203620196;-5.5703175423204	#	-8.593481315827999;-4.891374322711999	#	#	0.607850611915425;1.336433176516575	-8.4955933966573;-6.389717595382701	1.32332529005201;1.5645827072046885	#	0.575027676634798;1.316080157493202	#	0.30727579518798165;1.5117514143380184	#	#	-10.26565602916425;-8.02666154745575	#	-10.347874655861501;-8.0203388463185	0.8100432186296624;1.2774873857903375	#	0.6664482511340175;1.3279806847799824	-10.6594457327749;-8.592921228525102	0.301076776115101;1.551786497294899	#	#	-10.6253039506411;-9.0459734772589	0.25211369811831197;1.403146233123688	#	0.19887073071276795;1.378124334015232	-10.5599232917498;-9.6762012204502	0.61714503068994;1.07896894212806	residential_area	0.1	1.0	1	1.0	675	675	0.5625	1.0	0	0
-7.357802364336875;-2.253114355083125	0.43219026294231605;1.337968217097684	-7.4569773389447205;-3.8110661733352797	0.69255000361234;1.53996606710766	-6.8083556002557;-4.489805918844301	0.82245978738598;1.33701128239402	-7.0712333201085;-4.2839686539915	0.7817607120765;1.3066830012434998	#	0.89241080182375;1.7571217193362498	#	0.92618274615883;1.38052296934117	#	0.72145160731718;1.59673053084282	-8.2947727603976;-4.724827182362399	0.8656527522802;1.5554607684398	#	0.6764406837473599;1.99374682669264	-8.19884600067575;-4.41657242310425	#	-7.62085596681;-4.3009938844699995	#	-8.0246286443504;-3.8246877155695995	#	#	#	-7.5069620353826;-4.6618460858774	#	#	1.296849367665215;1.818451035894785	-6.94089338975125;-5.25686828024875	1.2287777301560598;2.15860171912394	#	1.406174832329855;2.2879144493701453	-7.5484529542766;-5.3804036281234	#	#	1.56654708380986;2.12053376617014	-8.88183158868;-4.150143830819999	#	#	1.5695827264297502;2.11644580779025	#	#	-8.323738976641;-4.447931282719001	1.48609674923633;2.28728025156367	#	#	#	1.11963516532984;2.7118938879901604	-7.362942655346201;-5.4760369749938	#	-8.13508786114375;-4.49908992147625	#	#	1.215386325326305;2.277035205173695	-8.871693808365249;-6.084505247854749	1.16104700995016;2.66387256272984	-8.622060699006301;-7.130769446993701	1.263326130661138;2.546612134098862	#	1.2227995632673525;2.5497642284326476	#	#	-9.911554530289;-7.6204904094709995	1.49444651067265;2.45473231822735	-9.767225388719;-8.152200541281	1.257866437602201;2.641501172397799	-9.72943900674115;-8.359614318678851	1.4644307474366265;2.4661798612433734	-10.6994461052091;-7.489737832650901	1.2739776889429906;2.6573384411570093	-9.88001021742;-8.68630515368	1.3651043444823716;2.5095118557376286	-10.8330432262708;-8.173118218469199	1.377274288564607;2.348457989975393	-10.16685686502165;-9.13055078809835	#	#	#	home	1.0	1.0	1	3.248	28773	693	0.625	3.248	7	7
-7.793266638251801;-2.8927661493682	#	-7.33856523074169;-4.929659639178309	0.85998501273499;1.51480651634501	#	0.92358214283036;1.6207164263896399	#	1.1310401370464;1.9709157997136	#	1.5493052595060002;2.102720246714	-8.66075116300175;-5.37733175143825	1.2806829206005599;2.3576375236994402	-7.97150424931975;-6.34610353494025	#	#	1.584516442672145;2.084627254387855	#	#	-8.87404743866275;-6.46714607111725	#	#	1.2405474851676601;2.25502954293234	-9.2690358546255;-5.6597116189545	#	#	#	-10.014307863151;-5.272447947309	1.18430938158399;2.35037444863601	#	1.421072241583335;2.0772807919366647	-10.24402778065375;-5.19195245214625	1.1525276706106;2.2944167798694	#	1.241720847599855;2.1234604646401447	-9.0356462714552;-6.7976598702648	1.0125680107427;2.2124197257773	#	1.1923124195197898;2.02329244306021	#	1.2413403870871798;1.99053587181282	-9.9619670856711;-6.2536232054289	#	-9.3984536341834;-6.717671564276601	#	#	#	-9.269631843412801;-6.776039875107201	#	#	0.8148595742352799;2.06284614064472	-10.385771503966001;-5.831171585874	0.99255195725913;1.8804980381608702	-9.06982179284625;-7.417095456633751	#	#	0.7247940926534151;1.828076261906585	-9.9225180158573;-7.8166422145827	#	#	#	-10.219740543358599;-8.4493788661014	0.5855688189189683;1.565481187041032	-10.5919547861624;-8.0028368097176	0.685679436617765;1.4038297257422352	#	0.5618239967733849;1.426081223572615	-11.3857313692875;-8.2981838668325	#	#	#	#	0.42515470178273407;1.2589611825692661	#	0.11093029087822348;1.4054240331177765	#	#	#	#	#	#	home	1.0	1.0	1	6.944	28948	868	0.5	6.944	7	7
