A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	0	#	#	0	0.09548206512963528	0.6251501802162596	2	155.36662730592076	9982	9	0.16666666666666666	4084.724591307118	3122	4994
#	#	#	1	#	#	1	0.09548206512963528	0.6251501802162596	3	157.37307374297674	9983	13	0.16666666666666666	7781.938094127667	3122	4994
#	0	0	#	#	#	0	0.23714595527324203	0.7498996386993175	7	164.18259658139317	9982	31	0.3333333333333333	19601.38874693437	1868	2491
0	#	#	1	1	#	1	0.23794226017771394	0.750402576489533	4	158.04351952450543	9978	65	0.5	588.9649962851986	932	1242
#	0	#	#	#	#	1	0.03125	0.5	1	161.9112263106605	9984	65	0.16666666666666666	2875.395375051605	2483	4966
1	#	1	0	#	1	1	0.2373046875	0.75	1	149.08955802955694	9955	70	0.6666666666666666	150.8619475369462	465	620
1	#	0	#	#	0	0	0.2373046875	0.75	3	161.6020870393041	9996	76	0.5	542.4028537459226	930	1240
#	#	#	1	#	1	1	0.23858741255028879	0.7508090614886731	3	161.42997133535434	9983	112	0.3333333333333333	455.96640208274374	1856	2472
#	#	#	0	1	1	1	0.095367431640625	0.625	1	154.82410568991097	9984	128	0.5	153.2801321123887	770	1232
#	#	#	1	1	#	1	0.23650157233250532	0.7494916632777552	2	148.1412645495164	9978	164	0.3333333333333333	284.2086223565398	1843	2459
#	#	#	0	1	#	0	0.031377342944461394	0.500406834825061	1	148.62069694603926	9975	165	0.3333333333333333	2776.748057121439	1230	2458
1	#	#	#	1	#	1	0.23746596565599729	0.7501019160211986	5	140.723427399726	9984	182	0.3333333333333333	9186.14924286174	1840	2453
#	#	1	0	#	1	1	0.09497881181710194	0.6244897959183674	1	137.96295460675736	9955	198	0.5	137.2546165730584	765	1225
#	0	1	#	1	#	1	1.0	1.0	29	164.96134580561935	9955	225	0.5	77138.1424984961	1221	1221
#	#	#	#	0	#	0	0.09505516134034075	0.6245901639344262	3	167.51656608436502	9982	235	0.16666666666666666	9002.789142448899	3048	4880
#	#	1	#	1	#	1	0.23601077189724753	0.7491803278688525	6	155.92225238761836	9978	241	0.3333333333333333	12850.844170264454	1828	2440
#	0	1	0	#	1	1	0.23795483693889433	0.7504105090311987	2	137.36050786257636	9955	241	0.6666666666666666	274.7210157251527	457	609
#	0	#	0	1	1	1	0.2373046875	0.75	3	162.75857766342077	9984	256	0.6666666666666666	489.5946662378278	456	608
