A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	0	1	1	0.09582607506290511	0.6256	3	179.31838213480773	4981	0	0.5	9293.3589521131	391	625
0	1	#	1	#	#	1	1.0	1.0	39	191.09528927432547	4979	1	0.5	166788.89051560606	626	626
#	0	#	0	0	#	0	0.23857098498326276	0.7507987220447284	3	167.2895554385239	4921	3	0.5	508.73229111808087	470	626
#	#	#	#	0	0	0	0.23793817536009593	0.7504	8	174.73557521872144	4989	5	0.3333333333333333	28546.442324104435	938	1250
#	#	1	0	1	#	1	0.095367431640625	0.625	2	168.59517328974266	4936	8	0.5	4092.687068815497	390	624
#	1	#	#	1	#	1	0.03125	0.5	1	176.00729379506924	4979	19	0.3333333333333333	3231.0667706393074	623	1246
#	1	0	#	1	#	0	0.0315016090063042	0.5008025682182986	1	167.4014173799728	4980	31	0.5	2970.8093078419015	312	623
1	#	#	#	0	0	0	1.0	1.0	27	179.42202087986257	4989	32	0.5	77677.95997121256	622	622
1	#	#	1	#	1	1	0.23666642889327236	0.7495961227786753	2	170.31145005204368	4981	42	0.5	340.62290010408736	464	619
0	#	0	#	#	0	0	0.23794226017771394	0.750402576489533	4	175.4872500527144	4971	43	0.5	701.9490002108575	466	621
#	#	#	#	0	1	1	0.03125	0.5	1	158.1221932748011	4981	48	0.3333333333333333	2814.42220494672	619	1238
0	#	#	1	#	1	1	0.2392277300107553	0.7512116316639742	3	197.68962045495923	4928	48	0.5	591.2325958826215	465	619
#	#	#	#	0	#	0	0.09563724474975514	0.6253532498990715	3	168.15778785497477	4989	49	0.16666666666666666	9398.524287087821	1549	2477
#	1	#	1	1	#	1	0.2392277300107553	0.7512116316639742	5	181.92946216461357	4979	50	0.5	10986.583797145995	465	619
0	1	#	#	#	#	1	0.03125	0.5	1	177.69894238163002	4979	50	0.3333333333333333	3208.53195901258	621	1242
#	#	#	0	0	#	0	0.23826388062028334	0.7506053268765133	2	161.973191723159	4989	57	0.3333333333333333	334.6508283884216	930	1239
0	0	0	#	#	#	0	1.0	1.0	37	179.70962493887177	4971	75	0.5	142389.6044475493	615	615
#	#	#	1	#	1	1	0.2395696462726769	0.7514262428687857	7	190.3656661413523	4981	83	0.3333333333333333	22034.239425537846	922	1227
0	#	#	1	#	#	1	0.23795058991439386	0.7504078303425775	17	191.61399260930605	4979	91	0.3333333333333333	134442.74324046823	920	1226
#	0	1	0	#	#	1	0.2373046875	0.75	9	163.11885043512842	4966	93	0.5	31478.061918084728	459	612
#	1	1	1	#	#	1	0.23795058991439386	0.7504078303425775	2	185.37388533386934	4979	94	0.5	376.1167395854271	460	613
#	#	0	1	1	#	0	0.007275704283295278	0.3735725938009788	1	163.84689561143063	4971	95	0.5	12510.453489530895	229	613
1	0	0	0	#	0	1	0.030242020769037464	0.49673202614379086	1	180.09821540236322	4904	104	0.8333333333333334	3446.6890127474	76	153
0	#	0	#	#	#	0	0.23665808110665365	0.7495908346972177	14	174.80973521620612	4980	107	0.3333333333333333	82233.81369419632	916	1222
#	1	1	#	#	1	1	0.23665808110665365	0.7495908346972177	4	179.3036955018241	4956	111	0.5	680.5184775091205	458	611
0	1	#	#	0	0	0	0.03125	0.5	1	169.69960904641295	4738	130	0.6666666666666666	3167.578559125009	152	304
#	1	#	1	#	#	1	0.23697934522992561	0.7497942386831276	7	181.6406246528181	4981	138	0.3333333333333333	21436.355544191603	911	1215
0	#	1	1	#	#	1	1.0	1.0	32	202.04050265725712	4979	144	0.5	121013.62668300053	607	607
#	#	1	0	#	#	1	0.030992587893990356	0.4991735537190083	3	158.89566947750433	4966	157	0.3333333333333333	25954.820066871256	604	1210
#	1	1	#	1	#	0	0.03125	0.5	1	176.9184840102444	4969	158	0.5	3276.6245831622036	302	604
#	1	0	#	#	#	0	0.03125	0.5	1	167.356919831176	4980	159	0.3333333333333333	3082.0757517775737	606	1212
#	1	#	#	1	1	1	0.23664951206490956	0.7495854063018242	2	182.65506200888038	4956	161	0.5	364.13765502220093	452	603
#	0	#	#	#	1	1	0.03125	0.5	1	167.7718048494127	4996	170	0.3333333333333333	3183.5581848632946	602	1204
#	#	1	#	0	1	1	0.0955256915321746	0.6252072968490879	2	159.18353362387384	4966	175	0.5	3531.124821776617	377	603
1	#	#	1	0	1	0	0.03073433475919105	0.4983388704318937	1	157.62182352177086	4977	177	0.6666666666666666	2968.2195954880294	150	301
0	#	#	1	#	0	1	0.23862158042165266	0.7508305647840532	7	179.75363797070392	4979	178	0.5	21295.824216626726	452	602
0	#	#	0	1	#	0	0.2373046875	0.75	5	164.8248171677223	4980	188	0.5	10049.85491334842	450	600
#	0	1	#	1	#	1	1.0	1.0	30	186.4122007514881	4936	200	0.5	97100.2483680374	599	599
#	0	0	0	#	#	0	0.23664514180614574	0.7495826377295493	3	172.04361121104446	4921	203	0.5	535.7044275517709	449	599
1	#	1	#	0	1	0	0.03125	0.5	1	132.365734225518	4879	207	0.6666666666666666	2451.4839201681884	149	298
0	#	#	#	#	#	1	0.03138075295533349	0.5004177109440268	1	177.4056426402299	4979	208	0.16666666666666666	3169.4366193919454	1198	2394
#	1	#	1	#	1	1	1.0	1.0	25	193.57714138230602	4981	211	0.5	68964.30868987586	598	598
#	1	#	#	#	#	0	0.031380862463365126	0.5004180602006689	3	173.35237075632762	4989	222	0.16666666666666666	28555.671907047636	1197	2392
1	#	0	0	0	#	0	0.23598486492701679	0.7491638795986622	1	163.79975182787467	4921	249	0.6666666666666666	173.4370152888177	224	299
#	0	#	0	#	#	0	0.03151393431094692	0.5008417508417509	1	167.93540573221821	4921	249	0.3333333333333333	3138.3877823927564	595	1188
#	#	#	0	0	0	0	0.5153724705671044	0.8758389261744967	5	179.3857731692529	4989	250	0.5	929.5485661059855	522	596
#	1	#	0	0	#	0	0.2373046875	0.75	1	157.143622557245	4989	250	0.5	159.26488780711912	447	596
0	1	#	#	1	#	0	0.03098739644777246	0.4991568296795953	1	178.20485653098166	4980	252	0.5	3268.9864682575753	296	593
#	0	#	#	1	1	1	0.2373046875	0.75	2	180.64029224371316	4996	260	0.5	367.6007306092829	444	592
#	#	#	#	1	1	1	0.23697054972214196	0.7497886728655959	7	183.0989520948627	4996	264	0.3333333333333333	22356.20268934327	887	1183
#	0	1	#	#	#	1	0.23697054972214196	0.7497886728655959	10	172.65458258022232	4966	264	0.3333333333333333	41969.48319229789	887	1183
#	0	#	1	1	0	1	0.23462633247291279	0.7482993197278912	4	166.80416257125913	4967	295	0.6666666666666666	667.2166502850365	220	294
#	1	1	#	#	#	1	0.031117472625352707	0.4995751911639762	1	172.18869946770937	4979	303	0.3333333333333333	3173.129946578621	588	1177
0	#	#	#	#	#	0	0.03131668798255885	0.5002132196162047	2	177.4056426402299	4980	308	0.16666666666666666	12596.824956140135	1173	2345
0	1	#	0	#	#	0	1.0	1.0	25	157.2234740789835	4980	329	0.5	61828.38848081148	583	583
#	#	1	#	#	#	1	0.09475109959439905	0.6241900647948164	2	173.02786483616455	4979	367	0.16666666666666666	4202.437346982595	1445	2315
#	1	#	0	1	#	0	0.2373046875	0.75	3	161.6716829849855	4980	380	0.5	485.01504895495646	432	576
#	#	0	#	#	#	0	0.09524326609245283	0.6248371689101172	3	168.67214142573349	4980	395	0.16666666666666666	9441.708713591772	1439	2303
#	#	1	#	0	1	0	0.007372806527756832	0.37456445993031356	1	159.18353362387384	4879	399	0.5	11282.118500962022	215	574
#	#	#	1	#	#	1	0.09574135593757932	0.6254893431926924	9	182.41516971692303	4981	400	0.16666666666666666	88789.79090044888	1438	2299
1	1	1	#	#	#	0	0.031800162533240244	0.5017482517482518	1	161.19348354381003	4989	414	0.5	2964.862074958896	287	572
1	#	#	#	0	#	0	0.23696006849414203	0.7497820401046208	14	164.1648010818204	4989	416	0.3333333333333333	81881.59515468401	860	1147
#	0	0	#	#	#	0	0.23765152270458337	0.7502191060473269	12	169.55449110356423	4977	427	0.3333333333333333	61079.35832074965	856	1141
#	1	1	1	1	#	1	0.23869568420059764	0.7508771929824561	1	191.7651445900413	4979	435	0.6666666666666666	191.7651445900413	214	285
#	1	1	0	#	1	0	0.03125	0.5	1	134.748285595288	4937	439	0.6666666666666666	2495.6100409209703	142	284
1	0	0	0	#	#	0	0.03125	0.5	1	167.9988611878153	4921	441	0.6666666666666666	3190.1288166744557	143	286
#	1	#	0	#	#	0	0.2373046875	0.75	9	158.90433322675787	4989	450	0.3333333333333333	32095.272614850543	852	1136
#	0	#	0	1	1	1	0.2373046875	0.75	3	179.9488730192283	4996	452	0.6666666666666666	548.8082738221062	213	284
#	0	#	#	1	#	1	0.2369564270852916	0.7497797356828194	9	167.92240137806974	4996	456	0.3333333333333333	33267.30509487975	851	1135
#	0	0	#	#	1	0	0.2366079625334324	0.7495590828924162	3	166.30751094418164	4977	459	0.5	508.8164575508515	425	567
#	#	#	1	1	#	1	0.23800305278347153	0.7504409171075838	2	181.4008191433217	4979	467	0.3333333333333333	361.00204785830425	851	1134
#	1	#	#	1	#	0	0.03125	0.5	1	176.00729379506924	4980	479	0.3333333333333333	3203.8971765340807	565	1130
#	0	#	#	#	#	1	0.03138888866989721	0.5004436557231589	3	170.0453508803012	4996	484	0.16666666666666666	28858.955607107175	1128	2254
1	0	#	#	#	#	1	0.03125	0.5	2	169.5584932026814	4996	487	0.3333333333333333	12784.535138309297	564	1128
#	0	#	1	#	#	1	0.031110863978936986	0.49955396966993754	1	173.9070309260437	4967	496	0.3333333333333333	3235.255365467118	560	1121
0	#	1	#	#	#	1	0.2355551766490147	0.748890860692103	10	177.02106939954098	4979	496	0.3333333333333333	42711.3695633938	844	1127
#	0	0	#	0	#	0	1.0	1.0	27	184.09220935521893	4977	497	0.5	81162.92193420559	562	562
0	#	#	0	#	#	0	0.23906771605509994	0.7511111111111111	7	159.89322576250044	4980	500	0.3333333333333333	19170.452616371775	845	1125
#	#	#	0	#	1	1	0.03125	0.5	1	148.64131819387657	4996	511	0.3333333333333333	2725.4621039618705	561	1122
1	#	0	#	1	#	1	0.2373046875	0.75	3	158.4280970150444	4996	516	0.5	468.10536380641645	420	560
#	1	#	#	#	1	1	0.2373046875	0.75	11	173.34702269182955	4981	531	0.3333333333333333	49743.18447212769	837	1116
1	#	0	1	1	#	1	0.23589048004320312	0.7491039426523297	1	154.4574914699455	4967	531	0.6666666666666666	154.4574914699455	209	279
1	0	#	#	1	#	1	1.0	1.0	36	165.56766713398744	4996	551	0.5	123733.1449684367	556	556
#	0	1	1	#	#	1	0.2373046875	0.75	3	185.45979796172247	4887	560	0.5	556.3793938851675	414	552
#	#	#	0	#	#	0	0.0963591271153828	0.6262944619540748	4	163.79634509773362	4989	564	0.16666666666666666	16247.582425276985	1391	2221
#	#	0	0	#	#	0	0.2365929163048813	0.7495495495495496	3	165.13944123434212	4980	569	0.3333333333333333	523.9705168530917	832	1110
#	0	#	#	0	#	0	0.23802075423174957	0.7504520795660036	13	172.47974745105392	4977	569	0.3333333333333333	73238.56019129015	830	1106
#	0	#	0	1	#	1	0.23658775543365188	0.7495462794918331	2	169.6020494146315	4996	584	0.5	340.0051235365787	413	551
#	#	#	0	1	#	0	0.031108341121889847	0.49954586739327883	1	165.08792130241244	4980	587	0.3333333333333333	3044.0329464347715	550	1101
1	0	#	#	0	#	0	1.0	1.0	26	169.3182394825604	4977	591	0.5	67586.71431750628	551	551
1	1	1	1	#	#	1	0.030681833345493955	0.4981684981684982	1	163.90363163022485	4956	606	0.6666666666666666	3053.65691737826	136	273
1	#	0	#	#	#	0	0.03125	0.5	1	163.30132458614094	4977	607	0.3333333333333333	3151.6251637404225	551	1102
#	#	1	1	#	#	1	0.23621713347686646	0.7493112947658402	6	186.56351533705907	4979	641	0.3333333333333333	16767.127977324264	816	1089
#	1	#	#	#	0	0	0.23803395765514174	0.7504604051565378	10	170.31050438620935	4989	670	0.3333333333333333	41641.89696996413	815	1086
0	1	#	0	#	#	1	0.0	0.0	2	157.2234740789835	692	692	0.5	36584.84525491804	0	540
#	1	#	0	#	0	0	1.0	1.0	27	173.56176822270896	4989	706	0.5	73547.25040207662	536	536
1	0	#	#	1	#	0	0.0	0.0	1	165.56766713398744	708	708	0.5	9547.310568552213	0	536
#	0	#	#	#	#	0	0.03125	0.5	2	170.0453508803012	4977	715	0.16666666666666666	12942.125117928295	1071	2142
#	#	#	1	0	#	1	0.03125	0.5	1	177.55159157040416	4981	731	0.3333333333333333	3215.080277878631	533	1066
#	1	#	0	#	0	1	0.0	0.0	1	173.56176822270896	745	745	0.5	10088.786063384994	0	535
0	#	0	1	#	0	0	0.03066481057996481	0.4981132075471698	2	167.61727585236832	4971	747	0.6666666666666666	12654.412312651344	132	265
#	0	1	#	0	#	1	0.03125	0.5	2	161.16884092383376	4966	750	0.5	11610.456494440496	265	530
0	1	#	#	#	#	0	0.03125	0.5	2	177.69894238163002	4980	756	0.3333333333333333	12611.369021227529	532	1064
0	#	0	0	#	#	0	1.0	1.0	23	174.52393803182053	4980	756	0.5	53433.56784667005	530	530
1	1	#	#	#	1	1	1.0	1.0	30	151.33968053136883	4981	767	0.5	82391.56529504906	528	528
0	1	#	#	#	0	1	0.030954633500942488	0.4990512333965844	1	169.89545853452574	4979	795	0.5	3203.6409724424648	263	527
#	0	0	1	0	#	1	0.0	0.0	1	185.96558915637837	817	817	0.6666666666666666	10763.068095684894	0	260
#	1	#	#	0	1	1	0.23806479157763555	0.7504798464491362	7	158.44944368889043	4981	831	0.5	17873.094428952365	391	521
1	#	#	#	#	#	0	0.03140125818766204	0.5004830917874397	1	165.15186534599218	4989	862	0.16666666666666666	3182.64185706398	1036	2070
#	#	#	0	#	0	0	0.2399917076716006	0.7516908212560387	4	173.71857290003155	4989	873	0.3333333333333333	699.3638507814965	778	1035
#	0	1	0	#	0	1	0.23272365383926907	0.7470817120622568	3	167.327186745548	4910	878	0.6666666666666666	497.72695029580507	192	257
#	#	#	#	#	1	1	0.096132816409376	0.626	2	171.0606698267214	4996	993	0.16666666666666666	4098.678905908813	1252	2000
0	0	1	0	#	#	0	0.0	0.0	1	158.22842218432484	1006	1006	0.6666666666666666	9157.733376203245	0	248
